Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,21,0.6155956,83.66409,5.37E-02,75.37412,76.39578,77.97926,80.65295,83.66409,86.71747,89.50144,91.18367,92.2826
1,22,0.5604849,84.47366,5.40E-02,76.09379,77.12388,78.72192,81.42426,84.47366,87.57224,90.40291,92.11585,93.23586
1,23,0.5483808,85.26893,5.42E-02,76.77861,77.82161,79.44005,82.17792,85.26893,88.41139,91.28355,93.02224,94.15932
1,24,0.5801857,86.04656,5.45E-02,77.42435,78.48497,80.12996,82.91055,86.04656,89.2313,92.1391,93.89799,95.04774
1,25,0.650763,86.8065,0.0547227,78.03446,79.11691,80.79385,83.62321,86.8065,90.03109,92.96827,94.74174,95.89975
1,26,0.7501682,87.55042,5.50E-02,78.61505,79.7227,81.4358,84.31846,87.55042,90.81246,93.77368,95.55714,96.71985
1,27,0.8594704,88.27994,5.52E-02,79.17742,80.3116,82.06241,84.99965,88.27994,91.57745,94.55966,96.35077,97.51649
1,28,0.9572632,88.99493,5.54E-02,79.73518,80.89438,82.68069,85.66923,88.99493,92.32596,95.32839,97.12717,98.29612
1,29,1.037631,89.69332,5.56E-02,80.28991,81.47172,83.29022,86.32555,89.69332,93.05634,96.07925,97.88662,99.05971
1,30,1.09876,90.37688,5.58E-02,80.84355,82.04533,83.89246,86.97002,90.37688,93.77109,96.81563,98.63313,99.81171
1,31,1.138442,91.04941,5.59E-02,81.40125,82.61993,84.49163,87.60647,91.04941,94.47441,97.54237,99.37202,100.5578
1,32,1.154353,91.71189,5.60E-02,81.96662,83.19857,85.09007,88.23633,91.71189,95.16724,98.26065,100.1047,101.2995
1,33,1.151339,92.36406,5.61E-02,82.53871,83.78062,85.68748,88.85959,92.36406,95.84852,98.96831,100.8283,102.0334
1,34,1.138636,93.00664,5.61E-02,83.1153,84.36475,86.28366,89.47701,93.00664,96.51778,99.66283,101.5384,102.7539
1,35,1.124733,93.64156,5.61E-02,83.69099,84.94704,86.87661,90.08901,93.64156,97.17738,100.346,102.2364,103.4617
1,36,1.114651,94.27061,5.61E-02,84.26119,85.52403,87.4644,90.69575,94.27061,97.83,101.0209,102.925,104.1594
1,37,1.105456,94.89699,5.61E-02,84.82814,86.09789,88.04922,91.29971,94.89699,98.47995,101.693,103.6107,104.8542
1,38,1.087223,95.52625,5.61E-02,85.40166,86.67728,88.63829,91.90668,95.52625,99.1339,102.3711,104.3042,105.5579
1,39,1.052716,96.16346,5.61E-02,85.99236,87.27163,89.23954,92.52275,96.16346,99.79691,103.0612,105.0121,106.2781
1,40,0.9991627,96.8102,5.60E-02,86.60583,87.88588,89.85695,93.1506,96.8102,100.4699,103.7639,105.7352,107.0155
1,41,0.9290915,97.46687,5.60E-02,87.24108,88.51942,90.49036,93.7905,97.46687,101.1531,104.479,106.473,107.7694
1,42,0.8496999,98.12937,5.59E-02,87.89156,89.16648,91.13496,94.43847,98.12937,101.8413,105.1996,107.2172,108.5305
1,43,0.7658156,98.79044,5.58E-02,88.55228,89.82214,91.78571,95.08876,98.79044,102.5249,105.9135,107.9537,109.2836
1,44,0.6808339,99.4417,5.56E-02,89.21736,90.48046,92.43644,95.73442,99.4417,103.1936,106.6082,108.6685,110.0133
1,45,0.6025665,100.0764,5.53E-02,89.87883,91.13413,93.08055,96.36931,100.0764,103.8388,107.2722,109.3481,110.7047
1,46,0.5393616,100.6901,5.50E-02,90.5284,91.77582,93.71195,96.98866,100.6901,104.4552,107.8984,109.9835,111.3475
1,47,0.4987937,101.2795,5.45E-02,91.15652,92.39712,94.32384,97.58777,101.2795,105.0399,108.4832,110.5705,111.9367
1,48,0.4895232,101.8408,5.41E-02,91.75114,92.98739,94.90751,98.16066,101.8408,105.5901,109.0238,111.1056,112.4683
1,49,0.5139129,102.374,5.36E-02,92.30433,93.53974,95.45764,98.70458,102.374,106.1086,109.5254,111.5954,112.9498
1,50,0.5644345,102.8828,5.32E-02,92.81378,94.05209,95.97281,99.21992,102.8828,106.6033,110.001,112.0566,113.4004
1,51,0.6380228,103.3712,0.052873,93.2784,94.52386,96.45328,99.70863,103.3712,107.0814,110.461,112.5016,113.8341
1,52,0.7336839,103.842,0.0526452,93.69787,94.9551,96.89969,100.1723,103.842,107.5467,110.9103,112.9364,114.2575
1,53,0.8502052,104.2984,5.25E-02,94.07491,95.34867,97.31502,100.614,104.2984,108.0025,111.3526,113.3648,114.6745
1,54,0.9888283,104.7412,5.25E-02,94.41025,95.70557,97.70049,101.0349,104.7412,108.4489,111.7871,113.7855,115.0835
1,55,1.150493,105.1718,5.25E-02,94.70503,96.02727,98.05792,101.4371,105.1718,108.8867,112.2139,114.1981,115.4838
1,56,1.335084,105.5932,5.26E-02,94.96101,96.31598,98.38999,101.8234,105.5932,109.3184,112.6352,114.6046,115.8775
1,57,1.540845,106.006,5.28E-02,95.17577,96.56998,98.6958,102.1938,106.006,109.7454,113.053,115.0076,116.2674
1,58,1.763586,106.414,5.31E-02,95.35296,96.79315,98.97934,102.5524,106.414,110.1715,113.4715,115.4118,116.6586
1,59,1.995635,106.8219,0.0533653,95.50311,96.99517,99.24899,102.9054,106.8219,110.6003,113.8944,115.8211,117.0555
1,60,2.22783,107.2314,5.37E-02,95.63829,97.18641,99.51269,103.2574,107.2314,111.0324,114.3217,116.2358,117.4585
